Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00479	3508	2719	2378	3602	4605	444
gene-SAOUHSC_00480	6243	4928	4690	6080	8958	1818
gene-SAOUHSC_00481	1887	1556	1585	1929	3540	488
gene-SAOUHSC_00482	3777	2358	2821	3300	4947	639
gene-SAOUHSC_00483	11217	8473	7355	17325	17957	2678
gene-SAOUHSC_00484	1057	855	720	1690	2289	517
gene-SAOUHSC_00485	1376	1288	1018	2249	2861	463
gene-SAOUHSC_00486	43462	37520	27025	59656	72116	17622
gene-SAOUHSC_00487	5614	4850	3850	6330	6846	2006
gene-SAOUHSC_00488	20716	15846	16374	17674	27852	10933
gene-SAOUHSC_00489	567	486	498	710	927	192
gene-SAOUHSC_00490	761	582	750	531	655	62
gene-SAOUHSC_00491	4582	4169	4779	2905	3285	486
gene-SAOUHSC_00492	1215	796	1572	1082	2095	84
gene-SAOUHSC_00493	36361	31010	38157	25484	34479	7641
gene-SAOUHSC_R00016	179	107	68	58	23	52
gene-SAOUHSC_T00059	104	99	57	27	18	22
gene-SAOUHSC_T00053	1672	1671	1115	904	274	464
gene-SAOUHSC_T00035	654	617	443	632	280	415
gene-SAOUHSC_T00021	417	336	308	267	120	232
gene-SAOUHSC_T00030	415	264	232	344	60	63
gene-SAOUHSC_T0004	2349	1896	1751	1171	1005	768
gene-SAOUHSC_T00044	291	213	191	387	298	226
gene-SAOUHSC_T0001	756	426	268	392	494	346
gene-SAOUHSC_R0002	2601	1496	350	3964	2990	6867
gene-SAOUHSC_R0007	14059	15853	4334	11814	8888	18219
gene-SAOUHSC_R00012	72	53	29	72	9	62
gene-SAOUHSC_00497	480	267	229	246	359	15
gene-SAOUHSC_00499	1503	1228	1042	2379	2368	1074
gene-SAOUHSC_00500	1350	1012	910	1998	2295	280
gene-SAOUHSC_00501	3471	2861	2312	12398	14143	1073
gene-SAOUHSC_00502	9029	9103	4619	6545	2273	87
gene-SAOUHSC_00503	10698	10806	5886	5993	2969	271
gene-SAOUHSC_00504	24576	25298	14221	13523	5855	232
gene-SAOUHSC_00505	75637	68977	39172	45350	24488	3490
gene-SAOUHSC_00506	2	1	0	3	1	0
gene-SAOUHSC_00507	4310	3910	2578	13340	20459	6626
gene-SAOUHSC_00508	3002	2437	1948	7344	12463	1486
gene-SAOUHSC_00509	8056	6911	5289	16344	25032	3688
gene-SAOUHSC_00510	759	716	438	2259	4637	1598
gene-SAOUHSC_00511	1792	1758	1065	6973	11623	2558
gene-SAOUHSC_00512	641	589	407	2491	5282	613
gene-SAOUHSC_00513	1066	979	588	3824	5866	2131
gene-SAOUHSC_00514	1224	1108	707	3969	6703	896
gene-SAOUHSC_00515	711	624	463	2396	3441	247
gene-SAOUHSC_00516	2297	1866	1819	3569	5687	628
gene-SAOUHSC_00517	5430	4694	3752	6831	8141	2401
gene-SAOUHSC_00518	75020	64369	57315	44844	41845	13482
gene-SAOUHSC_00519	63526	71339	48191	53464	43897	10451
gene-SAOUHSC_00520	73228	71279	57897	59719	95106	8591
gene-SAOUHSC_00521	43861	36163	34773	37413	41848	11699
gene-SAOUHSC_00523	8023	8862	6289	5551	6087	2163
gene-SAOUHSC_00524	243413	214408	165265	116856	119053	56434
gene-SAOUHSC_00525	314569	255651	193641	157080	148180	69118
gene-SAOUHSC_00526	20485	19604	13555	12094	7107	1277
gene-SAOUHSC_00527	108097	113185	88396	58381	72030	30031
gene-SAOUHSC_00528	106797	105716	85858	60663	62307	26155
gene-SAOUHSC_00529	530165	516938	401738	331780	300398	194329
gene-SAOUHSC_00530	393335	363874	283342	339668	281039	187739
gene-SAOUHSC_00531	1532	1091	911	3918	5476	1502
gene-SAOUHSC_00532	6329	5770	4377	16255	24229	3647
gene-SAOUHSC_00533	8241	6500	3456	21165	67038	8451
gene-SAOUHSC_00534	857	650	546	1308	2097	309
gene-SAOUHSC_00535	25044	21301	18412	5087	5402	842
gene-SAOUHSC_00536	4049	3855	2642	19405	23948	5102
gene-SAOUHSC_00537	308	276	263	1663	2724	169
gene-SAOUHSC_00538	375	296	260	1843	2825	460
gene-SAOUHSC_00539	1017	703	696	964	1258	152
gene-SAOUHSC_00540	98	70	88	390	300	25
gene-SAOUHSC_00541	187	129	125	463	505	154
gene-SAOUHSC_00542	858	478	613	1439	1966	189
gene-SAOUHSC_00543	1433	777	1126	1301	1608	155
gene-SAOUHSC_A00526	44	19	32	8	4	0
gene-SAOUHSC_00544	31936	19498	38007	3706	4407	2830
gene-SAOUHSC_00545	15772	12312	16142	7572	6217	2989
gene-SAOUHSC_00547	1260	912	897	2796	3302	223
gene-SAOUHSC_00548	5383	3950	4552	3946	4403	327
gene-SAOUHSC_00549	11108	9025	7063	6976	6832	1023
gene-SAOUHSC_00550	6220	4819	3739	5028	5630	1272
gene-SAOUHSC_00551	3320	2619	2133	4028	4876	585
gene-SAOUHSC_00552	1382	1302	843	1715	1916	149
gene-SAOUHSC_00553	3126	3174	1886	9143	14675	3341
gene-SAOUHSC_00554	3575	3761	2172	10468	16127	8536
gene-SAOUHSC_00555	322	226	195	313	293	213
gene-SAOUHSC_00556	11237	9472	10569	3235	4475	986
gene-SAOUHSC_00557	208	132	133	135	124	15
gene-SAOUHSC_00558	483	379	364	567	670	340
gene-SAOUHSC_00559	61	44	56	86	127	30
gene-SAOUHSC_00560	132	73	86	96	119	10
gene-SAOUHSC_00561	233216	187987	176223	48548	19761	899
gene-SAOUHSC_00562	2820	2360	2455	6122	8827	2223
gene-SAOUHSC_00564	691	632	529	959	1176	227
gene-SAOUHSC_00565	694	622	565	780	1231	224
gene-SAOUHSC_00567	694	517	503	533	827	206
gene-SAOUHSC_00569	23848	31414	17484	73978	100981	26907
gene-SAOUHSC_00571	589	445	413	859	1025	183
gene-SAOUHSC_00572	758	595	557	1476	1787	209
gene-SAOUHSC_00573	2979	2327	1334	4965	5183	421
gene-SAOUHSC_00574	23722	20649	19747	21088	16702	4605
gene-SAOUHSC_00575	23252	17279	19352	16210	12387	1830
gene-SAOUHSC_00577	4693	4371	3968	1919	2301	502
gene-SAOUHSC_00578	8246	8703	6838	5466	5585	4280
gene-SAOUHSC_00579	9982	9979	8306	8129	7409	4187
gene-SAOUHSC_00580	5517	4216	4754	1118	1466	137
gene-SAOUHSC_00581	10119	6009	5057	1618	2375	361
gene-SAOUHSC_00582	2086	1261	1035	276	499	29
gene-SAOUHSC_00583	20	16	28	7	3	0
gene-SAOUHSC_00584	1024	930	816	974	1737	212
gene-SAOUHSC_00585	39	22	34	66	120	34
gene-SAOUHSC_00586	188	147	145	172	227	52
gene-SAOUHSC_00587	304	204	212	234	282	55
gene-SAOUHSC_00588	215	158	198	179	185	33
gene-SAOUHSC_00589	152	103	146	121	190	8
gene-SAOUHSC_00591	157	118	132	125	177	22
gene-SAOUHSC_00592	271	176	211	218	360	33
gene-SAOUHSC_00593	116	61	88	128	159	14
gene-SAOUHSC_00595	14	1	22	35	66	3
gene-SAOUHSC_00596	56	45	47	64	49	12
gene-SAOUHSC_00598	140	89	102	94	119	8
gene-SAOUHSC_00599	90	59	106	135	183	14
gene-SAOUHSC_00600	174	121	100	115	179	16
gene-SAOUHSC_00602	166	94	101	137	196	60
gene-SAOUHSC_00603	1377	1144	923	1812	2654	559
gene-SAOUHSC_00604	4402	4882	2253	9900	13618	1375
gene-SAOUHSC_00605	598	344	341	1313	2026	90
gene-SAOUHSC_00606	4446	2971	2466	6112	7855	964
gene-SAOUHSC_00607	2710	1845	1607	3157	3416	473
gene-SAOUHSC_00608	3947	3319	2219	55823	80812	16025
gene-SAOUHSC_00609	4	5	5	71	33	8
gene-SAOUHSC_00610	604	459	446	1360	2051	73
gene-SAOUHSC_00611	4126	2519	3130	6313	7609	466
gene-SAOUHSC_00612	132	80	95	102	132	25
gene-SAOUHSC_00613	1734	917	1217	1569	1854	131
gene-SAOUHSC_00614	456	379	292	1449	2414	107
gene-SAOUHSC_00615	753	523	479	1637	2037	217
gene-SAOUHSC_00616	1488	1029	1078	1993	2704	187
gene-SAOUHSC_00617	38153	34244	18933	47579	42900	18411
gene-SAOUHSC_00618	2666	2015	2179	4099	6560	378
gene-SAOUHSC_00619	4821	5886	3456	12093	18262	1502
gene-SAOUHSC_00620	32981	33049	23485	96120	121261	17947
gene-SAOUHSC_00621	745	591	488	1456	2314	225
gene-SAOUHSC_00622	509	293	299	212	342	32
gene-SAOUHSC_00624	3372	3307	2686	3483	4985	330
gene-SAOUHSC_00625	13542	13391	9582	17762	25327	3872
gene-SAOUHSC_00626	2019	1932	1615	2956	4551	789
gene-SAOUHSC_00627	1351	1258	955	1851	3393	600
gene-SAOUHSC_00628	7336	8039	5606	11762	19645	3834
gene-SAOUHSC_00629	787	675	638	1565	2743	437
gene-SAOUHSC_00630	57	38	40	48	63	11
gene-SAOUHSC_00632	4831	4126	2958	6668	9430	1387
gene-SAOUHSC_00633	12124	9940	6675	14495	15878	1782
gene-SAOUHSC_00634	29284	22757	25488	14403	26015	2745
gene-SAOUHSC_00636	12083	9014	10932	7436	14586	608
gene-SAOUHSC_00637	10472	7662	6910	13181	23696	2277
gene-SAOUHSC_00638	7939	5451	6069	4669	5168	956
gene-SAOUHSC_00639	3315	2126	2568	1149	1252	311
gene-SAOUHSC_00640	1276	862	968	2091	3032	392
gene-SAOUHSC_00641	9732	7548	7873	6808	7549	1647
gene-SAOUHSC_00642	9377	7209	8053	7353	8038	306
gene-SAOUHSC_00643	2384	1749	1939	2302	3079	308
gene-SAOUHSC_00644	2945	2282	2601	2149	3218	231
gene-SAOUHSC_00645	1556	1149	1493	1107	1449	284
gene-SAOUHSC_00646	4454	3735	3871	3807	6075	669
gene-SAOUHSC_00647	61649	40407	43360	14437	15349	2736
gene-SAOUHSC_00648	11085	7372	9438	8720	9310	2239
gene-SAOUHSC_00650	18	19	21	7	13	1
gene-SAOUHSC_00651	3301	2648	2927	2361	3734	510
gene-SAOUHSC_00652	4560	3807	2790	5031	7967	1005
gene-SAOUHSC_00653	2653	2070	1661	1864	2596	400
gene-SAOUHSC_00654	5117	3958	3349	3003	4632	719
gene-SAOUHSC_00655	1471	1510	722	2527	4079	1020
gene-SAOUHSC_00656	969	1031	574	1490	3283	731
gene-SAOUHSC_00658	617	552	344	739	1555	175
gene-SAOUHSC_00659	11034	9453	7584	17329	13808	502
gene-SAOUHSC_00660	25681	27464	33138	9771	9886	2296
gene-SAOUHSC_00661	1278	1079	1141	1066	1319	102
gene-SAOUHSC_A00635	11	6	11	19	11	2
gene-SAOUHSC_00662	5151	3604	4243	1379	1194	94
gene-SAOUHSC_00663	1814	1296	755	2531	2013	146
gene-SAOUHSC_00664	1429	1244	994	2119	3035	181
gene-SAOUHSC_00665	1069	767	775	1165	1154	112
gene-SAOUHSC_00666	1833	1243	1314	1746	2137	255
gene-SAOUHSC_00667	2140	1738	1423	8975	15047	1539
gene-SAOUHSC_00668	5554	4267	4484	10575	19193	592
gene-SAOUHSC_00669	3903	3371	3636	4431	5129	364
gene-SAOUHSC_00670	8974	7853	6687	6651	5837	1509
gene-SAOUHSC_00671	1753	1541	1630	7452	4260	2183
gene-SAOUHSC_00672	2607	1854	1699	2694	3113	219
gene-SAOUHSC_00673	956	588	767	836	1424	97
gene-SAOUHSC_00674	221	103	188	670	1997	43
gene-SAOUHSC_00675	6314	5037	4675	5752	6568	1546
gene-SAOUHSC_00676	4862	3687	3634	3914	3507	870
gene-SAOUHSC_00677	7	2	7	16	13	1
gene-SAOUHSC_00678	1827	1604	1235	4730	7018	451
gene-SAOUHSC_00679	3850	3347	2899	6737	9178	533
gene-SAOUHSC_00680	572	459	485	790	1790	210
gene-SAOUHSC_00681	3148	2645	2136	3669	4437	555
gene-SAOUHSC_00682	1158	898	941	1679	2116	186
gene-SAOUHSC_00683	442	302	295	1297	1714	100
gene-SAOUHSC_00684	110	65	89	177	217	29
gene-SAOUHSC_00685	949	602	550	1940	2709	161
gene-SAOUHSC_00686	1881	1684	1150	6311	6754	616
gene-SAOUHSC_00687	347	264	254	836	834	174
gene-SAOUHSC_00688	4468	4652	2567	18227	13698	10930
gene-SAOUHSC_00689	2665	2589	1715	11159	10736	3494
gene-SAOUHSC_00690	4579	4078	2758	20766	21417	3324
gene-SAOUHSC_00691	2374	1926	1834	3593	6237	1254
gene-SAOUHSC_00692	5917	4283	4016	6812	8276	1518
gene-SAOUHSC_00693	8405	6734	5880	9469	9775	1000
gene-SAOUHSC_00694	77040	79858	63851	81216	75350	10028
gene-SAOUHSC_00695	1279	983	793	1791	1403	275
gene-SAOUHSC_00696	2755	2059	1979	3232	4633	649
gene-SAOUHSC_00697	378	178	371	484	562	47
gene-SAOUHSC_00698	3085	2188	2523	2440	3117	673
gene-SAOUHSC_00699	7384	5773	6337	6897	9805	1907
gene-SAOUHSC_00700	936	601	658	853	763	96
gene-SAOUHSC_00701	525	309	644	791	1226	128
gene-SAOUHSC_00702	494	366	411	607	482	34
gene-SAOUHSC_00703	2093	1812	1869	1999	2426	398
gene-SAOUHSC_00704	630	463	694	1160	1457	91
gene-SAOUHSC_00705	485	318	388	434	930	98
gene-SAOUHSC_00706	8407	6324	6137	2765	5860	819
gene-SAOUHSC_00707	11613	10418	8364	4311	14933	6563
gene-SAOUHSC_00708	47526	39890	33267	29832	66940	18163
gene-SAOUHSC_00709	2	0	4	2	0	0
gene-SAOUHSC_00710	1185	864	636	1441	1890	379
gene-SAOUHSC_00711	5417	4526	3418	16340	17440	1652
gene-SAOUHSC_00712	610	545	276	3470	5044	1336
gene-SAOUHSC_00713	2032	1712	1241	9923	10814	1799
gene-SAOUHSC_00714	48181	33734	27322	35278	40018	1764
gene-SAOUHSC_00715	30864	22066	17505	27604	31344	1834
gene-SAOUHSC_00716	15912	11129	9077	18366	15541	997
gene-SAOUHSC_00717	24600	16753	12922	24125	23525	467
gene-SAOUHSC_00718	2232	1202	2404	1389	1475	202
gene-SAOUHSC_00719	8355	6425	7579	3081	4397	1275
gene-SAOUHSC_00720	3024	2526	2805	1205	1877	134
gene-SAOUHSC_00721	3271	2530	3190	1048	1888	137
gene-SAOUHSC_00722	262	190	184	232	228	57
gene-SAOUHSC_00723	928	630	708	648	924	259
gene-SAOUHSC_00724	722	567	619	589	893	95
gene-SAOUHSC_00725	312	269	318	544	555	25
gene-SAOUHSC_00726	1724	1295	1455	2058	2761	248
gene-SAOUHSC_00727	3041	2303	2582	3105	3782	796
gene-SAOUHSC_00728	251713	170306	213606	75219	61462	6215
gene-SAOUHSC_A00703	22	8	19	4	1	0
gene-SAOUHSC_00729	17970	11954	13629	9764	14147	2329
gene-SAOUHSC_00730	32331	19791	25247	14311	21384	2172
gene-SAOUHSC_00731	1870	1760	1045	5256	7324	2804
gene-SAOUHSC_00732	5394	4035	3244	8770	11510	1619
gene-SAOUHSC_00733	611	539	396	6390	8415	1046
gene-SAOUHSC_00734	1899	1292	1232	4860	6217	478
gene-SAOUHSC_00735	278	199	203	486	748	143
gene-SAOUHSC_00736	9738	10349	6439	19158	17903	3387
gene-SAOUHSC_00737	10	9	12	16	25	4
gene-SAOUHSC_00738	6676	6308	4052	40523	41693	9060
gene-SAOUHSC_00739	2470	1974	2096	1481	1931	497
gene-SAOUHSC_00740	3341	2616	2763	2388	3196	172
gene-SAOUHSC_00741	3851	2798	2586	10502	12965	1780
gene-SAOUHSC_00742	37452	25733	23854	92794	110326	12652
gene-SAOUHSC_00743	18311	12756	11778	51830	59131	5624
gene-SAOUHSC_00744	37	14	20	15	11	14
gene-SAOUHSC_00745	6	0	5	1	3	4
gene-SAOUHSC_00746	720	684	484	443	496	54
gene-SAOUHSC_00747	579	434	472	197	230	3
gene-SAOUHSC_00748	715	542	511	174	199	17
gene-SAOUHSC_00749	1602	1235	1219	585	868	93
gene-SAOUHSC_00751	1268	1000	942	1475	1692	185
gene-SAOUHSC_00752	2011	1407	1303	2403	2354	556
gene-SAOUHSC_00753	223	202	177	395	517	21
gene-SAOUHSC_00754	1870	1131	1384	1306	1679	97
gene-SAOUHSC_00755	9259	8212	6590	4167	4765	325
gene-SAOUHSC_00756	4699	4583	3349	3786	4836	1392
gene-SAOUHSC_00757	9683	6503	6714	6496	7764	2025
gene-SAOUHSC_00758	535	339	325	497	661	96
gene-SAOUHSC_00759	411	256	232	524	533	58
gene-SAOUHSC_00760	25982	19862	26942	4394	3980	320
gene-SAOUHSC_00762	2858	2050	2283	4053	5940	664
gene-SAOUHSC_00763	2055	1459	1032	2779	2881	891
gene-SAOUHSC_00764	4977	3376	3778	3928	2490	331
gene-SAOUHSC_00765	662	623	633	229	195	9
gene-SAOUHSC_00766	677	503	513	350	430	67
gene-SAOUHSC_00767	20414	17488	10712	51003	68741	7089
gene-SAOUHSC_00769	41679	32230	25532	44082	54842	14868
gene-SAOUHSC_00770	87	62	82	102	126	42
gene-SAOUHSC_00771	3876	2663	2840	4236	6772	2154
gene-SAOUHSC_00772	7	7	6	1	5	1
gene-SAOUHSC_00773	1269	970	1051	419	610	51
gene-SAOUHSC_00774	614	294	346	1897	2954	146
gene-SAOUHSC_00775	191	86	97	520	594	23
gene-SAOUHSC_00776	5797	4203	4293	2389	2560	458
gene-SAOUHSC_00778	0	0	0	0	0	0
gene-SAOUHSC_A00747	2	0	5	0	0	0
gene-SAOUHSC_00779	8637	6132	6592	3852	4198	606
gene-SAOUHSC_00780	35082	25614	28978	15911	15564	5580
gene-SAOUHSC_00781	1931	1896	1094	6342	9512	1595
gene-SAOUHSC_00782	734	707	439	2801	4600	915
gene-SAOUHSC_00783	532	468	338	1636	2586	330
gene-SAOUHSC_00784	2358	1910	1470	4911	5838	394
gene-SAOUHSC_00785	9056	7348	4060	15506	20752	7292
gene-SAOUHSC_00786	209	148	93	151	145	119
gene-SAOUHSC_00787	3428	3452	2151	5137	8634	878
gene-SAOUHSC_00788	11186	12343	7162	26942	35532	16598
gene-SAOUHSC_00789	16559	15933	10628	27926	38962	8150
gene-SAOUHSC_T0005	38	32	22	184	168	14
gene-SAOUHSC_00790	18713	14848	11070	13485	10543	1380
gene-SAOUHSC_00792	2835	2641	1961	14443	15545	4405
gene-SAOUHSC_00793	6226	6729	4631	24306	44459	15422
gene-SAOUHSC_00794	38584	30437	24575	101817	74444	33449
gene-SAOUHSC_00795	57754	47750	34632	300838	266932	93843
gene-SAOUHSC_00796	14318	10547	8358	85411	80964	21414
gene-SAOUHSC_00797	14127	11603	8966	79073	89878	22618
gene-SAOUHSC_00798	28479	21983	17274	146950	154302	86805
gene-SAOUHSC_00799	39627	31155	21423	153758	148759	104070
gene-SAOUHSC_00800	3606	2693	3222	5189	5045	154
gene-SAOUHSC_00801	9394	8985	7134	8347	13536	5815
gene-SAOUHSC_00802	16248	17010	14685	9154	12611	1992
gene-SAOUHSC_00803	71243	74364	62734	49210	56319	11352
gene-SAOUHSC_00804	15607	15564	13435	10721	14442	3401
gene-SAOUHSC_00805	77	61	64	45	26	7
gene-SAOUHSC_00806	1247	730	1309	330	533	46
gene-SAOUHSC_00807	861	489	636	207	244	51
gene-SAOUHSC_00808	2130	1318	1813	852	933	84
gene-SAOUHSC_00809	9	10	6	6	3	1
gene-SAOUHSC_00810	171	205	146	494	900	133
gene-SAOUHSC_00811	800	757	654	1570	2936	489
gene-SAOUHSC_00812	115386	117911	73966	122806	112172	130602
gene-SAOUHSC_00813	129	122	103	165	72	20
gene-SAOUHSC_00814	2601	1717	1676	2320	819	108
gene-SAOUHSC_00816	686	502	412	1813	1530	163
gene-SAOUHSC_00817	439	360	221	951	858	257
gene-SAOUHSC_00818	254	114	160	46	56	5
gene-SAOUHSC_00819	52909	38233	33085	91452	61378	14237
gene-SAOUHSC_00820	1791	1595	1331	3057	2726	276
gene-SAOUHSC_00821	893	895	644	1790	1629	206
gene-SAOUHSC_00822	397	316	221	881	1173	312
gene-SAOUHSC_00823	953	728	909	2273	1923	225
gene-SAOUHSC_00824	911	678	752	2070	2725	312
gene-SAOUHSC_00825	909	687	705	440	401	41
gene-SAOUHSC_00826	4192	4443	2818	14949	14474	943
gene-SAOUHSC_00827	7094	5363	6416	1551	1307	450
gene-SAOUHSC_00828	1682	1262	1351	6099	5572	537
gene-SAOUHSC_00830	8423	6900	6815	7139	6304	463
gene-SAOUHSC_00831	2529	2842	1736	6410	7502	3525
gene-SAOUHSC_00832	679	501	464	485	565	35
gene-SAOUHSC_00833	8636	6866	5821	4278	6504	1387
gene-SAOUHSC_00834	1651	1234	741	2715	2232	837
gene-SAOUHSC_00835	475	365	221	3154	5464	129
gene-SAOUHSC_00836	4235	3531	2595	11954	16605	1044
gene-SAOUHSC_00837	48	52	52	74	150	7
gene-SAOUHSC_00838	1437	1479	1040	1151	1139	112
gene-SAOUHSC_00839	191	177	116	144	141	54
gene-SAOUHSC_00840	1023	1052	740	1573	1379	219
gene-SAOUHSC_00841	544	608	501	1064	1210	157
gene-SAOUHSC_00842	13367	10425	12980	30766	54230	11151
gene-SAOUHSC_00843	7123	5613	6536	10867	20439	3873
gene-SAOUHSC_00844	15440	11068	15725	16653	37120	3095
gene-SAOUHSC_00845	69303	54936	36963	122792	129953	5856
gene-SAOUHSC_00846	975	799	976	469	360	81
gene-SAOUHSC_00847	55019	57021	42660	26726	26394	6105
gene-SAOUHSC_00848	105757	98837	79611	44182	37128	8512
gene-SAOUHSC_00849	117395	109750	89905	45451	47200	19332
gene-SAOUHSC_00850	51876	50003	41103	18442	21083	7115
gene-SAOUHSC_00851	129571	113051	97849	49849	61808	9542
gene-SAOUHSC_00852	47	46	46	14	19	5
gene-SAOUHSC_00853	81	52	79	295	180	17
gene-SAOUHSC_00854	1785	1628	1163	6031	6955	1405
gene-SAOUHSC_00855	1121	1033	705	3035	4028	2354
gene-SAOUHSC_00857	41	50	39	46	81	47
gene-SAOUHSC_00858	929	771	521	1442	1716	127
gene-SAOUHSC_00859	627	452	390	954	1101	232
gene-SAOUHSC_00860	1929	1543	1100	2648	3263	373
gene-SAOUHSC_00861	10282	9690	7087	17577	18957	4083
gene-SAOUHSC_00862	718	643	465	1353	1369	140
gene-SAOUHSC_00863	909	690	584	878	1010	46
gene-SAOUHSC_00864	309	297	213	899	1070	46
gene-SAOUHSC_00865	937	725	645	1982	2031	337
gene-SAOUHSC_00866	2075	1659	1355	2887	3460	644
gene-SAOUHSC_00867	1	1	1	1	3	1
gene-SAOUHSC_00868	343	346	425	2258	8203	189
gene-SAOUHSC_00869	12440	11023	8816	35591	53931	3368
gene-SAOUHSC_00870	7163	5733	5676	14785	14788	649
gene-SAOUHSC_00871	1686	1315	1668	3087	5520	179
gene-SAOUHSC_00872	12352	9545	9021	18378	19876	1037
gene-SAOUHSC_00873	7028	4408	4478	6250	5377	987
gene-SAOUHSC_00874	1106	567	873	447	451	51
gene-SAOUHSC_00875	10926	8514	7054	8832	8234	3321
gene-SAOUHSC_00876	1232	883	590	1931	3002	462
gene-SAOUHSC_00877	1797	1437	885	2956	3101	802
gene-SAOUHSC_00878	17228	13293	10601	25267	27151	6331
gene-SAOUHSC_00879	1869	1401	937	2505	3566	476
gene-SAOUHSC_00880	7803	6764	5228	9837	6260	1061
gene-SAOUHSC_00881	4822	4074	3172	4564	4749	765
gene-SAOUHSC_00882	8204	4266	3453	258	408	63
gene-SAOUHSC_00883	2481	1624	1692	3706	4511	456
gene-SAOUHSC_00884	809	680	523	1432	1437	742
gene-SAOUHSC_00885	2959	2493	2373	5452	9272	809
gene-SAOUHSC_00886	7315	6363	5080	13582	16136	2385
gene-SAOUHSC_00887	1746	1526	1174	3427	5209	505
gene-SAOUHSC_00888	1716	1423	1196	3747	4458	499
gene-SAOUHSC_00889	8186	7238	5184	21657	28324	4064
gene-SAOUHSC_00890	117	96	70	418	516	49
gene-SAOUHSC_00891	4509	3277	2587	5072	5236	2586
gene-SAOUHSC_00892	5837	5358	3659	6979	8767	2170
gene-SAOUHSC_00893	1280	1056	596	3179	5501	1745
gene-SAOUHSC_00894	5237	5726	2865	15189	19464	2737
gene-SAOUHSC_00895	17252	17025	10719	24147	31412	7490
gene-SAOUHSC_00896	1976	1786	1045	835	843	904
gene-SAOUHSC_00897	975	723	901	630	939	105
gene-SAOUHSC_00898	32933	29733	43591	1137	7383	569
gene-SAOUHSC_00899	16619	14923	21643	941	7070	1307
gene-SAOUHSC_00900	9459	6792	5227	21542	21533	3186
gene-SAOUHSC_00901	1682	1307	1223	4024	7005	391
gene-SAOUHSC_00902	2230	2024	1714	3707	5678	1123
gene-SAOUHSC_00903	2699	2348	1676	2748	3565	268
gene-SAOUHSC_00904	5415	4760	3930	5849	7296	877
gene-SAOUHSC_00905	12559	10210	9411	10734	12813	2373
gene-SAOUHSC_00906	9382	7571	5716	20046	25542	7518
gene-SAOUHSC_00907	1429	960	928	1394	1498	488
gene-SAOUHSC_00908	5996	5327	3346	11728	13179	4774
gene-SAOUHSC_00909	2235	1941	1275	3673	4002	700
gene-SAOUHSC_00910	2881	3081	1909	5815	7442	914
gene-SAOUHSC_00911	2603	1503	1686	533	524	37
gene-SAOUHSC_00912	370625	361293	242608	59109	18972	1753
gene-SAOUHSC_00913	71	37	46	51	54	1
gene-SAOUHSC_00914	601	876	594	48	36	3
gene-SAOUHSC_00915	307	447	385	72	82	7
gene-SAOUHSC_00916	201	205	191	93	73	10
gene-SAOUHSC_00917	193	263	159	140	178	20
gene-SAOUHSC_00918	2042	1617	1723	675	633	469
gene-SAOUHSC_00919	1612	1275	984	3807	2753	122
gene-SAOUHSC_00920	1942	1590	1527	4063	7666	3225
gene-SAOUHSC_00921	8377	6759	5967	17764	27709	16668
gene-SAOUHSC_00922	63	25	27	230	168	6
gene-SAOUHSC_00923	484	392	359	5198	4805	463
gene-SAOUHSC_00924	679	579	547	4829	5566	1098
gene-SAOUHSC_00925	1411	1317	1344	7921	11618	3094
gene-SAOUHSC_00926	1697	1269	1679	8300	12485	3040
gene-SAOUHSC_00927	7138	4862	6327	22674	30735	6600
gene-SAOUHSC_00928	492	261	272	448	712	108
gene-SAOUHSC_00929	147	99	87	155	253	19
gene-SAOUHSC_00930	175	102	91	135	239	53
gene-SAOUHSC_00931	189	86	125	151	238	20
gene-SAOUHSC_00932	582	333	367	359	490	125
gene-SAOUHSC_00933	3921	2652	3210	5072	6377	533
gene-SAOUHSC_00934	377083	306557	283007	203508	252737	36561
gene-SAOUHSC_00935	34136	29782	19188	31493	39578	3338
gene-SAOUHSC_00936	222	194	202	52	73	6
gene-SAOUHSC_00937	1234	826	703	5900	8247	822
gene-SAOUHSC_00938	3333	2488	2125	3529	4257	466
gene-SAOUHSC_00939	1297	919	759	2193	2623	195
gene-SAOUHSC_00940	462	335	226	1246	956	71
gene-SAOUHSC_00941	1447	1187	977	2073	2985	121
gene-SAOUHSC_00942	3882	3306	2516	4800	6804	964
gene-SAOUHSC_00943	6744	5595	4377	7060	7929	1531
gene-SAOUHSC_00944	2095	1612	1496	2322	3274	465
gene-SAOUHSC_00945	3429	3074	2637	3862	6256	1147
gene-SAOUHSC_00946	6004	4939	4622	7446	8784	1209
gene-SAOUHSC_00947	11073	8648	7316	13875	13728	1611
gene-SAOUHSC_00948	3867	3146	2839	12009	11991	665
gene-SAOUHSC_00949	654	783	425	17230	19863	2313
gene-SAOUHSC_00950	726	623	528	2318	2349	253
gene-SAOUHSC_00951	9899	7019	6396	13970	15276	1082
gene-SAOUHSC_00952	6615	4360	4447	3350	2927	253
gene-SAOUHSC_00953	7190	5293	4812	5790	6702	607
