Geneid	/home/ubuntu/reprohackathon/results/BAM/SRR10379721.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379722.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379723.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379724.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379725.bam	/home/ubuntu/reprohackathon/results/BAM/SRR10379726.bam
gene-SAOUHSC_00112	288	207	221	372	613	55
gene-SAOUHSC_00113	2253	1449	1340	8552	21352	5722
gene-SAOUHSC_00114	1354	1520	982	6041	11178	1017
gene-SAOUHSC_00115	1668	1952	1136	6867	12800	2244
gene-SAOUHSC_00116	2041	2455	1424	6838	15409	2339
gene-SAOUHSC_00117	4230	5141	2632	11010	23249	8761
gene-SAOUHSC_00118	2321	2745	1587	5498	13638	4277
gene-SAOUHSC_00119	2526	2909	1612	5273	14204	2413
gene-SAOUHSC_00120	2547	3035	1700	5765	14330	5601
gene-SAOUHSC_00121	1135	1164	746	2601	6786	1689
gene-SAOUHSC_00122	1743	1758	1076	4085	10770	1358
gene-SAOUHSC_00123	1162	1125	740	2869	7627	2215
gene-SAOUHSC_00124	777	690	613	2138	5601	725
gene-SAOUHSC_00125	2582	2657	1645	4482	14876	4660
gene-SAOUHSC_00126	1214	1239	824	2085	8214	3293
gene-SAOUHSC_00127	2451	2406	1589	3979	10865	1819
gene-SAOUHSC_00128	3676	3582	2214	5304	17604	5615
gene-SAOUHSC_00129	4217	3888	2755	5565	15407	5463
gene-SAOUHSC_00130	1112	920	738	592	881	56
gene-SAOUHSC_00131	780	640	534	486	736	38
gene-SAOUHSC_00132	12571	13571	4557	22156	33329	3095
gene-SAOUHSC_00133	655	562	384	1364	1569	174
gene-SAOUHSC_00134	36	32	16	111	63	10
gene-SAOUHSC_00135	1477	839	946	263	334	114
gene-SAOUHSC_00136	377	196	219	31	40	10
gene-SAOUHSC_00137	582	333	345	83	117	58
gene-SAOUHSC_00138	467	267	258	69	97	17
gene-SAOUHSC_00139	1328	786	836	1021	1825	290
gene-SAOUHSC_00141	31948	19819	20394	5649	5388	287
gene-SAOUHSC_00142	1819	1661	1169	268	243	84
gene-SAOUHSC_00143	11495	5968	6820	1911	2337	316
gene-SAOUHSC_00144	132838	76752	76118	59653	68035	14061
gene-SAOUHSC_00145	20683	12187	11708	7414	7409	1046
gene-SAOUHSC_00146	3853	2150	3228	3674	3444	1956
gene-SAOUHSC_00147	3018	1607	2699	400	475	55
gene-SAOUHSC_00148	3218	1801	3023	423	595	148
gene-SAOUHSC_00149	862	463	732	151	216	37
gene-SAOUHSC_00150	1023	615	966	152	287	41
gene-SAOUHSC_00151	2100	1527	1602	6674	7490	348
gene-SAOUHSC_00152	1614	1323	832	864	842	325
gene-SAOUHSC_00153	2748	2460	1262	1412	2956	424
gene-SAOUHSC_00154	43	24	25	14	5	0
gene-SAOUHSC_00155	5501	3488	3548	13064	13086	3480
gene-SAOUHSC_00156	3154	3866	2084	6882	16975	1775
gene-SAOUHSC_00157	1936	2708	1400	2482	8067	2490
gene-SAOUHSC_00158	3423	4490	2306	3393	9271	2960
gene-SAOUHSC_00160	2619	3054	1702	1776	3739	384
gene-SAOUHSC_00161	94	39	48	83	146	9
gene-SAOUHSC_00162	2830	2390	1770	4386	5677	659
gene-SAOUHSC_00163	1198	1020	742	3092	4803	249
gene-SAOUHSC_00164	1165	1093	673	2662	3141	289
gene-SAOUHSC_00166	1700	1543	1106	2850	5035	484
gene-SAOUHSC_00167	3909	2468	2791	631	762	198
gene-SAOUHSC_00168	176	122	98	66	67	15
gene-SAOUHSC_00169	209	119	128	90	108	27
gene-SAOUHSC_00170	788	373	431	291	484	92
gene-SAOUHSC_00171	1205	672	669	723	1008	269
gene-SAOUHSC_00172	2620	2109	2214	419	397	24
gene-SAOUHSC_00173	41008	24810	35289	1098	1469	86
gene-SAOUHSC_00174	2945	3355	1791	1736	2407	489
gene-SAOUHSC_00175	295	251	178	238	364	76
gene-SAOUHSC_00176	773	730	543	140	256	60
gene-SAOUHSC_00177	936	952	696	166	334	81
gene-SAOUHSC_00178	751	788	553	190	243	31
gene-SAOUHSC_00179	1437	1542	1056	324	532	221
gene-SAOUHSC_00180	1454	1503	1041	343	472	169
